,Price,Kilometres,Year,Age of Car
422,69990,51509,2018.0,6.0
423,15990,114382,2012.0,12.0
424,43990,49811,2019.0,5.0
425,38990,61451,2019.0,5.0
426,96800,59096,2019.0,5.0
427,39990,84904,2014.0,10.0
428,67788,2005,2023.0,1.0
429,102880,53932,2020.0,4.0
430,62788,2088,2023.0,1.0
431,69788,2088,2023.0,1.0
432,17490,108830,2013.0,11.0
433,44990,61290,2019.0,5.0
434,18999,31600,2014.0,10.0
435,288888,2087,2022.0,2.0
436,38900,56911,2016.0,8.0
437,11999,212599,2007.0,17.0
438,19950,173585,2011.0,13.0
439,33990,89987,2015.0,9.0
440,24990,111923,2015.0,9.0
441,139900,1288,2022.0,2.0
442,18999,179312,2015.0,9.0
443,108588,3211,2023.0,1.0
444,14888,207245,2010.0,14.0
445,44991,78864,2018.0,6.0
446,73900,- / -,2023.0,1.0
447,18990,159613,2015.0,9.0
448,57588,39646,2021.0,3.0
449,84900,7543,2022.0,2.0
450,9999,272450,2007.0,17.0
451,31800,73164,2019.0,5.0
452,62825,30188,2021.0,3.0
453,16998,150100,2018.0,6.0
454,38990,19204,2019.0,5.0
455,69990,37305,2021.0,3.0
456,21995,226814,2014.0,10.0
457,13830,186141,2009.0,15.0
458,37800,128660,2016.0,8.0
459,76900,26697,2020.0,4.0
460,25800,154913,2013.0,11.0
461,158990,2604,2022.0,2.0
462,21999,111992,2015.0,9.0
463,51888,43883,2021.0,3.0
464,129990,5131,2022.0,2.0
465,17488,140775,2010.0,14.0
466,45888,49681,2020.0,4.0
467,40880,96978,2019.0,5.0
468,20995,107519,2015.0,9.0
469,32800,90636,2014.0,10.0
470,31538,94683,2013.0,11.0
471,46990,93602,2018.0,6.0
472,93888,2088,2023.0,1.0
473,19990,137905,2009.0,15.0
474,56990,22889,2019.0,5.0
475,13995,186851,2011.0,13.0
476,34990,145378,2017.0,7.0
477,67910,9513,2022.0,2.0
478,82800,50174,2021.0,3.0
479,89800,15487,2020.0,4.0
480,24999,131968,2016.0,8.0
481,34500,137000,2016.0,8.0
482,18888,109459,2012.0,12.0
483,50988,43600,2017.0,7.0
484,79988,31367,2021.0,3.0
485,69888,99978,2016.0,8.0
486,14900,133884,2012.0,12.0
487,28990,118120,2016.0,8.0
488,71990,115198,1990.0,34.0
489,10990,94800,2009.0,15.0
490,69888,27582,2020.0,4.0
491,47800,68599,2018.0,6.0
492,45555,31620,2016.0,8.0
493,79480,4140,2022.0,2.0
494,174988,7874,2021.0,3.0
495,66990,76000,2008.0,16.0
496,73950,5345,2022.0,2.0
497,58990,99100,2018.0,6.0
498,20987,143000,2016.0,8.0
499,56990,92412,2015.0,9.0
500,41880,58128,2017.0,7.0
501,57800,51526,2018.0,6.0
502,39990,54385,2016.0,8.0
503,39441,40416,2018.0,6.0
504,47990,47711,2018.0,6.0
505,79988,87314,2017.0,7.0
506,11995,154715,2010.0,14.0
507,31989,128319,2013.0,11.0
508,32900,92513,2015.0,9.0
509,118888,2256,2022.0,2.0
510,39990,164980,2015.0,9.0
511,29880,66479,2015.0,9.0
512,19990,94751,2015.0,9.0
513,71300,68597,2015.0,9.0
514,39950,19500,2017.0,7.0
515,18990,147538,2008.0,16.0
516,129988,2858,2020.0,4.0
517,44800,65568,2017.0,7.0
518,28999,108083,2014.0,10.0
519,34800,67098,2018.0,6.0
520,19999,86372,2012.0,12.0
521,29999,135000,2009.0,15.0
522,9999,180391,2008.0,16.0
523,24990,62809,2008.0,16.0
524,69888,6558,2022.0,2.0
525,5990,261021,2003.0,21.0
526,13990,241871,2007.0,17.0
527,69990,104391,2013.0,11.0
528,48868,93692,2017.0,7.0
529,48800,32054,2018.0,6.0
530,23990,149501,2013.0,11.0
531,91890,19800,2022.0,2.0
532,184988,6598,2021.0,3.0
533,32990,181659,2015.0,9.0
534,11990,139696,2008.0,16.0
535,27990,165394,2016.0,8.0
536,72988,8348,2022.0,2.0
537,17990,168951,2013.0,11.0
538,22999,104235,2007.0,17.0
539,126800,- / -,2023.0,1.0
540,21990,263339,2012.0,12.0
541,46999,65591,2018.0,6.0
542,14800,121968,2011.0,13.0
543,79999,5338,2022.0,2.0
544,47990,70069,2017.0,7.0
545,48888,55396,2017.0,7.0
546,38830,72232,2018.0,6.0
547,114900,- / -,2023.0,1.0
548,95700,- / -,2023.0,1.0
549,37380,94970,2018.0,6.0
550,9995,130360,2008.0,16.0
551,168888,14425,2021.0,3.0
552,22888,132761,2012.0,12.0
553,107700,- / -,2023.0,1.0
554,26888,113134,2014.0,10.0
555,33990,113298,2015.0,9.0
556,12950,207192,2007.0,17.0
557,11990,188517,2009.0,15.0
558,168888,158,2023.0,1.0
559,36990,124997,2016.0,8.0
