VehicleID,Brand,Year,Model,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
188,Audi,2017,Q2,2017 Audi Q2 1.4 Tfsi Design,USED,Automatic,1.4,Front,Premium,5.3,37578,Grey / Black,"Zetland, NSW",4.0,SUV,4,5,35880
189,Audi,2016,A3,2016 Audi A3 1.4 Tfsi Attraction COD,USED,Automatic,1.4,Front,Premium,4.7,101005,Silver / Black,"Auburn, NSW",4.0,Sedan,4,5,21990
190,Audi,2018,S3,2018 Audi S3 Sportback 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,6.6,46956,Grey / Black,"Smeaton Grange, NSW",4.0,Hatchback,5,5,52888
191,Audi,2020,Q2,2020 Audi Q2 35 Tfsi Design Edition 2,USED,Automatic,1.4,Front,Premium,5.6,62355,White / Black,"Waterloo, NSW",4.0,SUV,4,5,37500
192,Audi,2010,A5,2010 Audi A5 Sportback 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,7.5,44175,White / Black,"Artarmon, NSW",4.0,Hatchback,5,4,26990
193,Audi,2022,A4,2022 Audi A4 Allroad 45 Tfsi Quattro Mhev,USED,-,2.0,AWD,Premium,7.4,14101,Grey / Black,"Mornington, VIC",4.0,Wagon,4,5,69990
196,Audi,2013,A3,2013 Audi A3 Sportback 1.8 Tfsi Ambition,USED,Automatic,1.8,Front,Premium,6.7,148265,Brown / Grey,"Leichhardt, NSW",4.0,Hatchback,5,5,13999
197,Audi,2023,Q5,2023 Audi Q5 45 Tfsi Quattro Mhev,DEMO,Automatic,2.0,AWD,Hybrid,8.0,1194,Grey / Black,"Berwick, VIC",4.0,SUV,4,5,88980
200,Audi,2022,Q3,2022 Audi Q3 35 Tfsi S Line,DEMO,Automatic,1.4,Front,Premium,7.3,5699,Blue / Black,"Artarmon, NSW",4.0,SUV,4,5,62888
204,Audi,2023,Q5,2023 Audi Q5 35 TDI Mhev,DEMO,Automatic,2.0,Front,Diesel,4.8,1123,Black / Black,"Berwick, VIC",4.0,SUV,4,5,78990
205,Audi,2018,Q2,2018 Audi Q2 1.4 Tfsi Design,USED,Automatic,1.4,Front,Premium,5.3,37170,White / Black,"Hobart, TAS",4.0,SUV,4,5,38990
206,Audi,2018,Q5,2018 Audi Q5 2.0 TDI Quattro Sport,USED,Automatic,2.0,AWD,Diesel,5.5,49113,Blue / Black,"Artarmon, NSW",4.0,SUV,4,5,47990
207,Audi,2010,A3,2010 Audi A3 Sportback 1.8 Tfsi Ambition,USED,Automatic,1.8,Front,Premium,8.5,145374,Black / Black,"Minchinbury, NSW",4.0,Hatchback,5,5,14995
208,Audi,2019,RS4,2019 Audi RS4 Avant 2.9 Tfsi Tiptronic,USED,Automatic,2.9,AWD,Premium,8.9,34660,Blue / Black,"Nunawading, VIC",6.0,Wagon,4,5,119990
209,Audi,2013,A1,2013 Audi A1 Sportback 1.4 Tfsi Attraction,USED,Manual,1.4,Front,Premium,5.3,92623,Black / Black,"Brighton, VIC",4.0,Hatchback,5,5,15672
215,Audi,2022,Q5,2022 Audi Q5 40 TDI Quattro Sport Mhev,USED,Automatic,2.0,AWD,Hybrid,5.4,4595,Grey / Black,"Zetland, NSW",4.0,SUV,4,5,77880
216,Audi,2019,Q5,2019 Audi Q5 45 Tfsi Quattro Sport,USED,Automatic,2.0,AWD,Premium,7.3,49431,White / Black,"Artarmon, NSW",4.0,SUV,4,5,54990
217,Audi,2007,Q7,2007 Audi Q7 3.0 TDI Quattro,USED,Automatic,3.0,AWD,Diesel,10.5,271314,Gold / Black,"West Footscray, VIC",6.0,SUV,4,5,13999
218,Audi,2017,Q7,2017 Audi Q7 3.0 TDI Quattro,USED,Automatic,3.0,AWD,Diesel,5.9,107604,White / Black,"Brooklyn, VIC",6.0,SUV,4,7,49987
219,Audi,2014,RS,2014 Audi RS Q3 2.5 Tfsi Quattro,USED,Automatic,2.5,AWD,Premium,8.8,97357,White / Black,"Ashmore, QLD",5.0,SUV,4,5,40990
221,Audi,2021,Q7,2021 Audi Q7 45 TDI Quattro Mhev,USED,Automatic,3.0,AWD,Hybrid,7.0,14431,Grey / Black,"Smeaton Grange, NSW",6.0,SUV,4,7,99888
222,Audi,2017,A7,2017 Audi A7 S/Back 3.0 TDI Biturbo Quattro,USED,Automatic,3.0,AWD,Diesel,5.5,61612,Black / Black,"Zetland, NSW",6.0,Hatchback,5,5,54880
223,Audi,2019,Q8,2019 Audi Q8 55 Tfsi Quattro (hybrid),USED,Automatic,3.0,AWD,Hybrid,9.2,70847,Grey / Black,"Hallam, VIC",6.0,SUV,4,5,92788
224,Audi,2022,A5,2022 Audi A5 45 Tfsi Quattro S Line Mhev,DEMO,-,2.0,AWD,Hybrid,7.1,4890,White / Black/Black,"Melbourne, VIC",4.0,Other,4,5,94900
226,Audi,2014,Q3,2014 Audi Q3 2.0 Tfsi Quattro (125KW),USED,Automatic,2.0,AWD,Premium,7.7,104934,White / Black,"Alphington, VIC",4.0,SUV,4,5,21990
228,Audi,2023,A1,2023 Audi A1 35 Tfsi,DEMO,Automatic,1.5,Front,Premium,5.8,2100,Black / Black,"Artarmon, NSW",4.0,Hatchback,5,5,51288
230,Audi,2018,SQ5,2018 Audi SQ5 3.0 Tfsi Quattro,USED,Automatic,3.0,AWD,Premium,8.7,74308,Grey / Black,"Maryville, NSW",6.0,SUV,4,5,59995
231,Audi,2015,A3,2015 Audi A3 1.4 Tfsi Attraction COD,USED,Automatic,1.4,Front,Premium,4.9,167529,Grey / Black,"Haberfield, NSW",4.0,Convertible,2,4,16990
232,Audi,2013,A5,2013 Audi A5 Sportback 2.0 TDI Quattro,USED,Automatic,2.0,AWD,Diesel,5.3,133742,Blue / Beige,"Thebarton, SA",4.0,Hatchback,5,4,18990
233,Audi,2016,A1,2016 Audi A1 Sportback 1.4 Tfsi Sport,USED,Automatic,1.4,Front,Premium,4.9,76280,Black / Cloth,"Toowoomba City, QLD",4.0,Hatchback,5,5,24995
235,Audi,2023,Q5,2023 Audi Q5 40 TDI Quattro Sport Mhev,DEMO,Automatic,2.0,AWD,Hybrid,5.4,2011,White / Black,"Hobart, TAS",4.0,SUV,4,5,92990
236,Audi,2022,Q3,2022 Audi Q3 35 Tfsi,DEMO,Automatic,1.4,Front,Premium,7.2,2200,Blue / Black,"Southport, QLD",4.0,SUV,4,5,54990
238,Audi,2020,Q5,2020 Audi Q5 45 Tfsi Quattro Design,USED,Automatic,2.0,AWD,Premium,7.3,38966,White / Black,"Springwood, QLD",4.0,SUV,4,5,56990
240,Audi,2016,RS3,2016 Audi RS3 Sportback Quattro,USED,Automatic,2.5,AWD,Premium,8.1,47926,White / Black,"Castle Hill, NSW",5.0,Hatchback,5,5,59990
244,Audi,2022,A3,2022 Audi A3 35 Tfsi Mhev,DEMO,Automatic,1.5,Front,Premium,4.9,4498,White / Black,"Melbourne, VIC",4.0,Sedan,4,5,55900
