,Brand,Year,Model,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
12018,Ssangyong,2009,Rexton,2009 Ssangyong Rexton RX270 XVT SPR II,USED,Automatic,"5 cyl, 2.7 L",4WD,Diesel,9.1 L / 100 km,222356,Black / -,"Bunbury, WA",5 cyl,SUV, 4 Doors, 7 Seats,9790
12019,Ssangyong,2023,Rexton,2023 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7 L / 100 km,7,Grey / -,"Christies Beach, SA",4 cyl,SUV, 4 Doors, 7 Seats,56550
12020,Ssangyong,2023,Rexton,2023 Ssangyong Rexton Ultimate Sport Pack,NEW,Automatic,-,Other,Diesel,-,-,Black / Black,"Taren Point, NSW",-,Wagon,,,58585
12021,Ssangyong,2023,Musso,2023 Ssangyong Musso Ultimate,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,8,Grey / -,"Christies Beach, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,43660
12022,Ssangyong,2023,Musso,2023 Ssangyong Musso Ultimate,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,6,Black / Black,"Christies Beach, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,46220
12023,Ssangyong,2020,Musso,2020 Ssangyong Musso Ultimate,USED,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,70561,Black / -,"Wangara, WA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,34777
12024,Ssangyong,2014,Stavic,2014 Ssangyong Stavic,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,7.8 L / 100 km,131716,White / Grey,"Clontarf, QLD",4 cyl,Wagon, 4 Doors, 7 Seats,13999
12025,Ssangyong,2014,Stavic,2014 Ssangyong Stavic,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,7.8 L / 100 km,161877,White / -,"Port Macquarie, NSW",4 cyl,Wagon, 4 Doors, 7 Seats,12990
12026,Ssangyong,2021,Musso,2021 Ssangyong Musso XLV ELX,DEMO,Automatic,"4 cyl, 2.2 L",4WD,Diesel,9 L / 100 km,1521,White / Black,"Derwent Park, TAS",4 cyl,Ute / Tray, 4 Doors, 5 Seats,38490
12027,Ssangyong,2023,Musso,2023 Ssangyong Musso ELX,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,- / -,7 years / Unlimited km,,4 cyl,Ute / Tray, 4 Doors, 5 Seats,38790
12028,Ssangyong,2013,Korando,2013 Ssangyong Korando SX,USED,Manual,"4 cyl, 2 L",AWD,Diesel,6.4 L / 100 km,90911,Red / Grey  Cloth,"Morphett Vale, SA",4 cyl,SUV, 4 Doors, 5 Seats,10990
12029,Ssangyong,2023,Rexton,2023 Ssangyong Rexton Ultimate (awd),NEW,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7 L / 100 km,6,Grey / -,"Christies Beach, SA",4 cyl,SUV, 4 Doors, 7 Seats,56440
12030,Ssangyong,2023,Musso,2023 Ssangyong Musso XLV ELX,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,9 L / 100 km,5,White / -,"Rutherford, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,40290
12031,Ssangyong,2013,Korando,2013 Ssangyong Korando S,USED,Manual,"4 cyl, 2 L",Front,Unleaded,7.5 L / 100 km,197083,Silver / Black,"Wauchope, NSW",4 cyl,SUV, 4 Doors, 5 Seats,7750
12032,Ssangyong,2023,Rexton,2023 Ssangyong Rexton ELX (awd),NEW,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7 L / 100 km,7,White / -,"Rutherford, NSW",4 cyl,SUV, 4 Doors, 7 Seats,48990
12033,Ssangyong,2023,Musso,2023 Ssangyong Musso XLV ELX,USED,Manual,"4 cyl, 2.2 L",4WD,Diesel,8.3 L / 100 km,10,White / -,"Derwent Park, TAS",4 cyl,Ute / Tray, 4 Doors, 5 Seats,38290
12034,Ssangyong,2023,Musso,2023 Ssangyong Musso ELX,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,6,Grey / Black,"Christies Beach, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,40550
12035,Ssangyong,2013,Korando,2013 Ssangyong Korando S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8 L / 100 km,121158,Silver / -,"Osborne Park, WA",4 cyl,SUV, 4 Doors, 5 Seats,13990
12036,Ssangyong,2022,Musso,2022 Ssangyong Musso ELX,NEW,Automatic,"4 cyl, 2.2 L",4WD,Diesel,8.6 L / 100 km,10,Black / Black,"Christies Beach, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,38880
12037,Ssangyong,2023,Korando,2023 Ssangyong Korando ELX,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.7 L / 100 km,23,Grey / Black,"Bunbury, WA",4 cyl,SUV, 5 Doors, 5 Seats,33585
12038,Ssangyong,2023,Rexton,2023 Ssangyong Rexton ELX,NEW,Automatic,-,Other,Diesel,-,4,Silver / Black/Grey,"Bundoora, VIC",-,SUV,,,49585
12039,Ssangyong,2023,Rexton,2023 Ssangyong Rexton Ultimate (awd),NEW,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7 L / 100 km,-,Grey / Black,"Taren Point, NSW",4 cyl,SUV, 4 Doors, 7 Seats,56585
12040,Subaru,2011,Outback,2011 Subaru Outback 2.0D Premium (sat-Nav),USED,Manual,"4 cyl, 2 L",AWD,Diesel,6.4 L / 100 km,238850,White / -,"Five Dock, NSW",4 cyl,SUV, 4 Doors, 5 Seats,8999
12041,Subaru,2006,Impreza,2006 Subaru Impreza 2.0R (awd),USED,Manual,"4 cyl, 2 L",AWD,Unleaded,9.6 L / 100 km,288000,Grey / -,"Archerfield, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,6500
12042,Subaru,2018,Impreza,2018 Subaru Impreza 2.0I (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.6 L / 100 km,61177,Grey / -,"Seven Hills, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,22990
12043,Subaru,2011,Outback,2011 Subaru Outback 3.6R Premium,USED,Automatic,"6 cyl, 3.6 L",AWD,Premium,10.3 L / 100 km,91016,Black / Black,"Brookvale, NSW",6 cyl,SUV, 4 Doors, 5 Seats,16999
12044,Subaru,2013,Forester,2013 Subaru Forester 2.0I-L,USED,Manual,"4 cyl, 2 L",AWD,Unleaded,7.2 L / 100 km,328514,Green / -,"Boolaroo, NSW",4 cyl,SUV, 4 Doors, 5 Seats,8800
12045,Subaru,2015,Outback,2015 Subaru Outback 2.5I Premium,USED,Automatic,"4 cyl, 2.5 L",AWD,Premium,7.3 L / 100 km,109232,Red / -,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,22888
12046,Subaru,2006,Forester,2006 Subaru Forester Cross Sports,USED,Automatic,-,Other,Premium,-,120026,Silver / Grey,"Smeaton Grange, NSW",-,Wagon,,,17888
